"","Country.of.Origin","Farm.Name","Mill","Company","Altitude","Region","Producer","Number.of.Bags","Bag.Weight","In.Country.Partner","Harvest.Year","Grading.Date","Owner","Variety","Processing.Method","Aroma","Flavor","Aftertaste","Acidity","Body","Balance","Uniformity","Clean.Cup","Sweetness","Overall","Total.Cup.Points","Moisture","Category.One.Defects","Quakers","Color","Category.Two.Defects","Farm.Region","Region.Country","Quality.Classification"
"929","Mexico","el romance azul","el romnace azul, rio verde","Other",1100,"atoyac de alvarez","maria de la paz aguilar guillen",15,"1 kg","AMECAFE","2012","July 26th, 2012","Other","Typica","Natural / Dry",7.5,7.5,7.25,7.5,7.42,7.58,9.33,10,10,7.42,81.5,0.11,0,0,"Green",3,"el romance azul-atoyac de alvarez","atoyac de alvarez-Mexico","Specialty"
"930","Indonesia","ijen highland east java","pt. perkebunan nusantara xii","Other",1400,"ijen","pt perkebunan nusantara xii",10,"60 kg","Specialty Coffee Association of Indonesia","2012","May 24th, 2012","Other","Other","Washed / Wet",7.75,7.17,7.17,7.33,7.58,7.33,10,10,10,7.17,81.5,0.12,0,0,"Green",0,"ijen highland east java-ijen","ijen-Indonesia","Specialty"
"931","Brazil","sertao","cocarive","exportadora de cafés carmo de minas ltda",125,"sul de minas","nazareth dias pereira",300,"1 kg","NUCOFFEE","2012","April 12th, 2012","jacques pereira carneiro","Bourbon","Semi-washed / Semi-pulped",7.5,7.42,7.17,7.42,7.5,7.33,10,10,10,7.17,81.5,0.12,0,0,"Blue-Green",2,"sertao-sul de minas","sul de minas-Brazil","Specialty"
"932","Guatemala","chiquimulja  alpha cafe  senfro","beneficio ixchel","unex guatemala sa",1310.64,"oriente","chiquimulja  alpha cafe  senfro",250,"1 kg","Asociacion Nacional Del Café","2012","January 25th, 2012","juan luis alvarado romero","Bourbon","Washed / Wet",7.33,7.5,7.33,7.42,7.17,7.33,10,10,10,7.42,81.5,0.11,0,0,"Green",1,"chiquimulja  alpha cafe  senfro-oriente","oriente-Guatemala","Specialty"
"933","Colombia",NA,NA,"Other",1450,"cauca",NA,250,"70 kg","Almacafé","2011","September 7th, 2011","racafe  cia sca","Caturra","Other",7.42,7.42,7.17,7.42,7.42,7.33,10,10,10,7.33,81.5,0.06,1,0,NA,0,"NA-cauca","cauca-Colombia","Commodity"
"934","United States (Hawaii)",NA,NA,"Other",518.16,"kona",NA,16,"1","Specialty Coffee Association","2010","June 29th, 2010","kona pacific farmers cooperative","Hawaiian Kona","Other",7.33,7.33,7.33,7.5,7.5,7.83,9.33,10,10,7.33,81.5,0,0,0,NA,17,"NA-kona","kona-United States (Hawaii)","Commodity"
"935","Mexico","cafetal","cafes tomari sa de cv","Other",1100,"veracruz","cafes tomari sa de cv",200,"69 kg","Centro Agroecológico del Café A.C.","2017","May 12th, 2017","Other","Mundo Novo","Washed / Wet",7.58,7.33,7.08,7.33,7.5,7.33,10,10,10,7.25,81.42,0.12,1,5,"Green",17,"cafetal-veracruz","veracruz-Mexico","Commodity"
"936","Guatemala","nueva granada","beneficio nueva granada","Other",1371.6,"san marcos","agricola nueva granada sa",450,"69 kg","Asociacion Nacional Del Café","2016","March 17th, 2016","juan luis alvarado romero","Catuai","Washed / Wet",7.42,7.33,7.08,7.58,7.33,7.25,10,10,10,7.42,81.42,0.1,0,0,"Green",0,"nueva granada-san marcos","san marcos-Guatemala","Specialty"
"937","Brazil","fazenda rio brilhante","17/18","cafebras comércio de cafes do brasil",1100,"cerrado","inacio urban",300,"60 kg","Brazil Specialty Coffee Association","2016","December 3rd, 2015","Other","Catuai","Natural / Dry",7.33,7.5,7.5,7.33,6.83,7.42,10,10,10,7.5,81.42,0.11,0,0,"Green",2,"fazenda rio brilhante-cerrado","cerrado-Brazil","Specialty"
"938","Honduras","cerro bueno","cadexsa","cadexsa",1400,"marcala","jose omar acosta",275,"1 kg","Instituto Hondureño del Café","2015","May 12th, 2015","cadexsa","Catuai","Washed / Wet",7.5,7.33,7.17,7.25,7.5,7.42,10,10,10,7.25,81.42,0.12,0,0,"Green",1,"cerro bueno-marcala","marcala-Honduras","Specialty"
"939","Taiwan",NA,"????","Other",110,"",NA,10,"60 kg","Blossom Valley International","2014","November 23rd, 2014","cqi taiwan icp cqi","Typica","Washed / Wet",7.83,7.75,7.42,7.17,7.08,7.08,10,10,10,7.08,81.42,0.12,0,0,"Green",0,"NA-","-Taiwan","Specialty"
"940","Malawi","chimpumba","mzuzu coffee coop union","mzuzu coffee planters coop union",1422,"mzuzu","mzuzu coffee coop union",12,"60 kg","Africa Fine Coffee Association","2014","November 4th, 2014","afca","Gesha","Washed / Wet",7.58,7.17,7.33,7.42,7.08,7.42,10,10,10,7.42,81.42,0.12,0,0,"Bluish-Green",0,"chimpumba-mzuzu","mzuzu-Malawi","Specialty"
"941","Brazil","rio verde","ipanema coffees","ipanema coffees",1100,"south of minas","ipanema agrícola sa",320,"2 kg","Specialty Coffee Association","2015","October 17th, 2014","ipanema coffees","Bourbon","Natural / Dry",7.25,7.5,7.42,7.17,7.33,7.33,10,10,10,7.42,81.42,0,0,0,"Green",0,"rio verde-south of minas","south of minas-Brazil","Commodity"
"942","Guatemala","santo tomas pachuj","humedo: finca santo tomas pachuj y seco: beneficio palinsa","Other",1550,"san lucas toliman solola","pachuj s a",250,"69 kg","Asociacion Nacional Del Café","2014","May 26th, 2014","juan luis alvarado romero","Bourbon","Washed / Wet",7.42,7.5,7.17,7.42,7.42,7.42,10,10,10,7.08,81.42,0.1,0,0,"Green",6,"santo tomas pachuj-san lucas toliman solola","san lucas toliman solola-Guatemala","Commodity"
"943","Mexico",NA,"cafe gourmet de sierra azul sc","Other",1550,"siltepec el triunfo","various small producers",280,"2 kg","Specialty Coffee Association","2014","May 1st, 2014","Other","Typica","Washed / Wet",7.67,7.33,7.25,7.17,7.25,7.42,10,10,10,7.33,81.42,0,1,0,"Green",1,"NA-siltepec el triunfo","siltepec el triunfo-Mexico","Commodity"
"944","Peru",NA,NA,"sustainable harvest",1200,"puno",NA,280,"5 lbs","Specialty Coffee Association","2013","February 27th, 2014","dane loraas","Other","Washed / Wet",7.42,7.42,7.17,7.33,7.42,7.42,10,10,10,7.25,81.42,0.1,1,0,"Bluish-Green",5,"NA-puno","puno-Peru","Commodity"
"945","Guatemala","la union monte verde","beneficio ixchel","unex guatemala sa",1310.64,"oriente","otto becker",250,"69 kg","Asociacion Nacional Del Café","2013","October 7th, 2013","juan luis alvarado romero","Bourbon","Washed / Wet",7.42,7.33,7.25,7.42,7.42,7.5,10,10,10,7.08,81.42,0.12,0,0,"Green",4,"la union monte verde-oriente","oriente-Guatemala","Specialty"
"946","Mexico","palantla","en chiatipan, municipio de huazalingo","Other",763,"huazalingo hidalgo","martinez bautista nicolas",10,"1 kg","AMECAFE","2012","September 27th, 2012","saul m hernandez ramirez","Caturra","Washed / Wet",7.42,7.33,7.25,7.17,7.25,7.42,10,10,10,7.58,81.42,0.13,1,0,"None",8,"palantla-huazalingo hidalgo","huazalingo hidalgo-Mexico","Commodity"
"947","Mexico","los brujos",NA,"Other",1100,"coatepec coatepec","maria de loudes ancira elizondo",20,"1 kg","AMECAFE","2012","June 6th, 2012","Other","Typica","Washed / Wet",7.42,7.42,7.25,7.25,7.5,7.33,10,10,10,7.25,81.42,0.13,0,0,NA,1,"los brujos-coatepec coatepec","coatepec coatepec-Mexico","Commodity"
"948","Colombia",NA,"trilladora boananza","exportadora de cafe condor sa",1750,"huila","exportadora de cafe condor sa",250,"70 kg","Almacafé","2011","November 11th, 2011","exportadora de cafe condor sa","Caturra","Natural / Dry",7.5,7.42,7.25,7.17,7.17,7.75,10,10,10,7.17,81.42,0.11,0,0,"Green",0,"NA-huila","huila-Colombia","Specialty"
